<<<<<<< HEAD
Fichero actualizado a fecha: 2014-10-19 13:52:56
Nombre del Organismo;Descripción;DatosPersonales;Dirección;Calle;CodigoPostal;Localidad;Localidad;SoloClasificar;Teléfono;Telefax oficial;Fax;e-mail;Páginas de internet;Posicion;Información Adicional;Directorio Superior;Identificador Directorio Superior;Identificador;FechaModificacion;Enlace al contenido;
"Biblioteca Pública Municipal de Riaza";;"Victoria Fernández del Pozo";"C/ María Sanz Ramírez, 2. 40500 Riaza";"C/ María Sanz Ramírez, 2";"40500";"Riaza";"1179298543947";;;;;"riaza@siacajasegovia.com";;"41.27903202153456#-3.4773874282836914#88";;"Segovia";"1284269350926";1191909671559;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSegovia/es/Plantilla100Detalle/1284212879636/_/1191909671559/DirectorioPadre";
"Biblioteca Pública Municipal de Arroyo de la Encomienda";;"Mayka Renedo Castrillo";;"C/ Zarza, s/n. La Flecha";"47195";"Arroyo de la Encomienda";"1179469235248";;"983 406 055";;"983 407 593";;;"41.615698998826346#-4.797248840332031#71";;"Valladolid";"1284269351464";1203344709433;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaValladolid/es/Plantilla100Detalle/1276515979208/_/1203344709433/DirectorioPadre";
"Biblioteca Pública de Burgos";;;;"Plaza San Juan, s/n";"09004";"Burgos";"1179297447246";;"947 256 419";;"947 202 877";"bpburgos@jcyl.es";"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaBurgos/es/Plantilla66y33/1284212879414/_/_/_";"42.34259274212382#-3.6957380175590515#112";;"Burgos";"1284269348748";1284259518643;20140313;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1284259518643/DirectorioPadre";
"Biblioteca Pública Municipal de Las Navas del Marqués";;"María Encarnación González Labrador";"C / Paco Segovia, 1. 05230 Las Navas del Marqués";"C / Paco Segovia, 1";"05230";"Navas del Marqués (Las)";"1179297250094";;"918 970 347";;;"biblionavas@gmail.com";"http://es-es.facebook.com/biblionavas, http://twitter.com/biblionavas";"40.60371414997791#-4.333671927452087#106";;"Ávila";"1284269348233";1193120404106;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaAvila/es/Plantilla100Detalle/1284212873300/_/1193120404106/DirectorioPadre";
"Biblioteca Palacio de los Serrano. Fundación Caja Ávila";;"Laura Marcos";;"Plaza de Italia, 1";"05001";"Ávila";"1179297192481";;"920 212 223";;;"fundacion@fundacioncajadeavila.es";"http://www.fundacioncajadeavila.es";"40.65571606349382#-4.695845246315002#112";;"Ávila";"1284269348233";1193641947556;20140822;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1193641947556/DirectorioPadre";
"Biblioteca de la Universidad Católica de Ávila";;"María Sonsoles Rodríguez Crespo";"C/ Canteros s/n 05005 Ávila";"C/ Canteros s/n";"05005";"Ávila";"1179297192481";;"920 251 020 Ext. 131 y 33";;"920 222 103";"biblioteca@ucavila.es";"https://www.ucavila.es/biblioteca/";"40.664396066466764#-4.698543548583984#88";;"Ávila";"1284269348233";1193727696464;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaAvila/es/Plantilla100Detalle/1284212873300/_/1193727696464/DirectorioPadre";
"Biblioteca Pública Municipal de Belorado";;"Mercedes Alvarez Alonso";;"Plaza Mayor, 1";"09250";"Belorado";"1179297442141";;"947 585 024";;;"bibliotecabelorado@gmail.com";"http://www.Belorado.es/turismo-y-ocio/bibliotecas";"42.42098549043597#-3.1896400451660156#88";;"Burgos";"1284269348748";1193292151728;20140724;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1193292151728/DirectorioPadre";
"Biblioteca Pública Municipal de Covarrubias";;"Marina Gil Degorce";;"C/ Monseñor Vargas, s/n";"09346";"Covarrubias";"1182753752839";;"947 406 397";;;"bibliotecacovarrubias@yahoo.es";;"42.06003111183482#-3.51961612701416#88";;"Burgos";"1284269348748";1193292152121;20140313;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1193292152121/DirectorioPadre";
"Biblioteca Pública Municipal de Quintana Martín Galíndez";;"María José Mata Simón";;"Plaza San Roque, 1 Bajo B";"09210";"Valle de Tobalina";"1179297681171";;"947 358 010";;;"bibliotecatobalina@hotmail.com";"http://www.valledetobalina.com/pag/index2.html";"42.794518909668035#-3.2689476013183593#88";;"Burgos";"1284269348748";1193378559447;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaBurgos/es/Plantilla100Detalle/1284212879414/_/1193378559447/DirectorioPadre";
"Biblioteca Pública Municipal de Quintanar de la Sierra";;"Belinda Blanco Pablo";;"C/ Ernesto Sanz y Sanz, 3";"09670";"Quintanar de la Sierra";"1179297602623";;"947 395 389 (Biblioteca), 947 395 427 (Ayto)";;;"bibliotecaquintanar@gmail.com";"http://clubdelecturaquintanar.blogspot.com.es/2011/04/bienvenids-al-club-de-lectura.html, http://www.quintanardelasierra.es/turismo-y-ocio/bibliotecas";"41.981984518008716#-3.040294647216797#88";;"Burgos";"1284269348748";1193378559579;20140313;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1193378559579/DirectorioPadre";
